Week,Start Date,End Date,Category,Task,Time Estimate (hrs),Dependencies,Deliverable,Status
1,2025-12-01,2025-12-07,Theory,Study attention mechanisms and positional encoding,6,None,Notes and understanding,Not Started
1,2025-12-01,2025-12-07,Practical,Implement transformer from scratch in PyTorch,8,Theory completed,Working transformer code,Not Started
1,2025-12-01,2025-12-07,Practical,Build encoder-decoder for sequence tasks,4,Transformer implementation,Encoder-decoder implementation,Not Started
1,2025-12-01,2025-12-07,Theory,Read Attention Is All You Need paper,2,None,Paper summary,Not Started
2,2025-12-08,2025-12-14,Theory,Study BERT GPT T5 architectures and training strategies,5,Week 1 complete,Architecture understanding,Not Started
2,2025-12-08,2025-12-14,Practical,Fine-tune BERT for classification task,5,Theory completed,Fine-tuned BERT model,Not Started
2,2025-12-08,2025-12-14,Practical,Fine-tune GPT-2 for generation task,4,Theory completed,Fine-tuned GPT-2 model,Not Started
2,2025-12-08,2025-12-14,Practical,Implement LoRA for parameter-efficient fine-tuning,4,Fine-tuning basics,LoRA implementation,Not Started
2,2025-12-08,2025-12-14,Theory,Read BERT and GPT-3 papers,2,None,Paper summaries,Not Started
3,2025-12-15,2025-12-21,Theory,Study LLaMA Mistral GPT-4 architectures,6,Week 2 complete,Architecture notes,Not Started
3,2025-12-15,2025-12-21,Practical,Deploy local LLM (LLaMA 2 7B),4,Theory completed,Deployed LLM,Not Started
3,2025-12-15,2025-12-21,Practical,Implement quantization with GPTQ/AWQ,4,LLM deployed,Quantized models,Not Started
3,2025-12-15,2025-12-21,Practical,Implement inference optimization (KV cache),4,LLM deployed,Optimized inference,Not Started
3,2025-12-15,2025-12-21,Theory,Read LLaMA paper and MoE papers,2,None,Paper summaries,Not Started
4,2025-12-22,2025-12-28,Theory,Study advanced prompting and agent frameworks,5,Week 3 complete,Prompting strategies documented,Not Started
4,2025-12-22,2025-12-28,Practical,Build multi-agent system with LangChain,6,Theory completed,Multi-agent system,Not Started
4,2025-12-22,2025-12-28,Practical,Implement function calling and tool use,3,Multi-agent system,Tool integration,Not Started
4,2025-12-22,2025-12-28,Practical,Create custom tools and agent orchestration,4,Function calling working,Custom agent tools,Not Started
4,2025-12-22,2025-12-28,Theory,Read ReAct paper and LangChain docs,2,None,Paper summary,Not Started
5,2025-12-29,2026-01-04,Theory,Study vector databases and retrieval strategies,6,Week 4 complete,Retrieval concepts documented,Not Started
5,2025-12-29,2026-01-04,Practical,Build RAG pipeline with vector database,5,Theory completed,Basic RAG pipeline,Not Started
5,2025-12-29,2026-01-04,Practical,Implement semantic chunking strategy,3,RAG pipeline built,Chunking implementation,Not Started
5,2025-12-29,2026-01-04,Practical,Implement re-ranking and query expansion,4,RAG pipeline built,Advanced retrieval,Not Started
5,2025-12-29,2026-01-04,Theory,Read RAG paper,2,None,Paper summary,Not Started
6,2026-01-05,2026-01-11,Theory,Study diffusion models and VAEs,6,Week 5 complete,Generative model concepts,Not Started
6,2026-01-05,2026-01-11,Practical,Train diffusion model on image dataset,5,Theory completed,Trained diffusion model,Not Started
6,2026-01-05,2026-01-11,Practical,Implement sampling strategies,3,Model trained,Sampling implementations,Not Started
6,2026-01-05,2026-01-11,Practical,Fine-tune Stable Diffusion with LoRA,4,Theory completed,Fine-tuned SD model,Not Started
6,2026-01-05,2026-01-11,Theory,Read DDPM and Stable Diffusion papers,2,None,Paper summaries,Not Started
7,2026-01-12,2026-01-18,Theory,Study CLIP and vision-language models,5,Week 6 complete,Multi-modal concepts,Not Started
7,2026-01-12,2026-01-18,Practical,Implement vision-text alignment,6,Theory completed,Vision-text model,Not Started
7,2026-01-12,2026-01-18,Practical,Fine-tune CLIP for custom task,3,Alignment working,Fine-tuned CLIP,Not Started
7,2026-01-12,2026-01-18,Practical,Build image-text retrieval system,4,CLIP fine-tuned,Retrieval application,Not Started
7,2026-01-12,2026-01-18,Theory,Read CLIP paper,2,None,Paper summary,Not Started
8,2026-01-19,2026-01-25,Project,CAPSTONE 1: Design and architecture,4,Week 7 complete,Architecture diagram,Not Started
8,2026-01-19,2026-01-25,Project,CAPSTONE 1: Data pipeline and embeddings,4,Design complete,Data pipeline,Not Started
8,2026-01-19,2026-01-25,Project,CAPSTONE 1: RAG implementation,6,Data pipeline ready,RAG system,Not Started
8,2026-01-19,2026-01-25,Project,CAPSTONE 1: Web UI development,3,RAG working,Streamlit/Gradio app,Not Started
8,2026-01-19,2026-01-25,Project,CAPSTONE 1: Deployment and documentation,3,UI complete,Deployed application with README,Not Started
9,2026-01-26,2026-02-01,Theory,Study ML system design and serving patterns,6,Capstone 1 complete,System design notes,Not Started
9,2026-01-26,2026-02-01,Practical,Deploy model with FastAPI,4,Theory completed,Model API,Not Started
9,2026-01-26,2026-02-01,Practical,Deploy model with TorchServe,4,Theory completed,TorchServe deployment,Not Started
9,2026-01-26,2026-02-01,Practical,Implement model versioning and A/B testing,4,Models deployed,Versioning system,Not Started
9,2026-01-26,2026-02-01,Theory,Read ML Engineering book chapters,2,None,Reading notes,Not Started
10,2026-02-02,2026-02-08,Theory,Study MLflow and experiment management,5,Week 9 complete,Experiment tracking concepts,Not Started
10,2026-02-02,2026-02-08,Practical,Set up MLflow server,3,Theory completed,MLflow server running,Not Started
10,2026-02-02,2026-02-08,Practical,Track experiments and register models,4,MLflow setup,Tracked experiments,Not Started
10,2026-02-02,2026-02-08,Practical,Automate workflows with Hydra configs,5,MLflow working,Automated experiments,Not Started
10,2026-02-02,2026-02-08,Theory,Read MLOps best practices documentation,3,None,Documentation notes,Not Started
11,2026-02-09,2026-02-15,Theory,Study CI/CD for ML and monitoring,6,Week 10 complete,CI/CD concepts,Not Started
11,2026-02-09,2026-02-15,Practical,Build CI/CD pipeline with GitHub Actions,5,Theory completed,CI/CD pipeline,Not Started
11,2026-02-09,2026-02-15,Practical,Implement monitoring with Evidently AI,3,Pipeline built,Monitoring setup,Not Started
11,2026-02-09,2026-02-15,Practical,Create data quality checks and dashboards,4,Monitoring setup,Quality dashboards,Not Started
11,2026-02-09,2026-02-15,Theory,Read Continuous Delivery for ML article,2,None,Article summary,Not Started
12,2026-02-16,2026-02-22,Theory,Study Docker Kubernetes and GPU optimization,5,Week 11 complete,Containerization concepts,Not Started
12,2026-02-16,2026-02-22,Practical,Dockerize ML application,4,Theory completed,Docker images,Not Started
12,2026-02-16,2026-02-22,Practical,Deploy on Kubernetes with autoscaling,5,Docker images ready,K8s deployment,Not Started
12,2026-02-16,2026-02-22,Practical,Optimize inference with TensorRT/ONNX,4,K8s deployed,Optimized models,Not Started
12,2026-02-16,2026-02-22,Theory,Read Kubernetes and cloud ML docs,2,None,Documentation notes,Not Started
13,2026-02-23,2026-03-01,Theory,Study workflow automation and n8n,5,Week 12 complete,Automation concepts,Not Started
13,2026-02-23,2026-03-01,Practical,Install n8n and explore interface,2,Theory completed,n8n installed,Not Started
13,2026-02-23,2026-03-01,Practical,Build 5 workflows integrating APIs,7,n8n installed,Working workflows,Not Started
13,2026-02-23,2026-03-01,Practical,Create custom n8n nodes and webhooks,4,Basic workflows,Custom integrations,Not Started
13,2026-02-23,2026-03-01,Theory,Read n8n documentation and patterns,2,None,Documentation notes,Not Started
14,2026-03-02,2026-03-08,Theory,Study agent frameworks and autonomous systems,6,Week 13 complete,Agent concepts,Not Started
14,2026-03-02,2026-03-08,Practical,Build LangChain agents with custom tools,6,Theory completed,Agent system,Not Started
14,2026-03-02,2026-03-08,Practical,Implement memory systems for agents,2,Agents working,Memory implementation,Not Started
14,2026-03-02,2026-03-08,Practical,Create agent orchestration with error handling,4,Memory implemented,Robust agent system,Not Started
14,2026-03-02,2026-03-08,Theory,Read autonomous agent papers,2,None,Paper summaries,Not Started
15,2026-03-09,2026-03-15,Theory,Study Make Zapier and low-code automation,4,Week 14 complete,Platform comparison,Not Started
15,2026-03-09,2026-03-15,Practical,Build workflows in Make with AI APIs,6,Theory completed,Make workflows,Not Started
15,2026-03-09,2026-03-15,Practical,Build workflows in Zapier with AI APIs,4,Make complete,Zapier workflows,Not Started
15,2026-03-09,2026-03-15,Practical,Implement custom webhooks and code steps,4,Basic workflows,Advanced integrations,Not Started
15,2026-03-09,2026-03-15,Theory,Read platform documentation,2,None,Documentation notes,Not Started
16,2026-03-16,2026-03-22,Project,CAPSTONE 2: Design ML pipeline architecture,4,Week 15 complete,Architecture diagram,Not Started
16,2026-03-16,2026-03-22,Project,CAPSTONE 2: Implement data and training pipeline,5,Design complete,Training pipeline,Not Started
16,2026-03-16,2026-03-22,Project,CAPSTONE 2: Build deployment and monitoring,5,Training working,Monitoring system,Not Started
16,2026-03-16,2026-03-22,Project,CAPSTONE 2: Automate workflows with n8n,3,Monitoring setup,Automation workflows,Not Started
16,2026-03-16,2026-03-22,Project,CAPSTONE 2: Documentation and deployment,3,Automation complete,Complete pipeline with docs,Not Started
17,2026-03-23,2026-03-29,Theory,Study robotics fundamentals and ROS architecture,7,Capstone 2 complete,Robotics concepts,Not Started
17,2026-03-23,2026-03-29,Practical,Install ROS 2 and explore tools,2,Theory completed,ROS 2 installed,Not Started
17,2026-03-23,2026-03-29,Practical,Create ROS nodes and pub/sub communication,4,ROS 2 installed,Working ROS nodes,Not Started
17,2026-03-23,2026-03-29,Practical,Implement basic robot controller,4,Nodes working,Robot controller,Not Started
17,2026-03-23,2026-03-29,Theory,Read robotics manipulation book chapters,3,None,Reading notes,Not Started
18,2026-03-30,2026-04-05,Theory,Study URDF modeling and simulation,5,Week 17 complete,Modeling concepts,Not Started
18,2026-03-30,2026-04-05,Practical,Model robot in URDF/XACRO,5,Theory completed,Robot model,Not Started
18,2026-03-30,2026-04-05,Practical,Simulate robot in Gazebo,5,Model created,Gazebo simulation,Not Started
18,2026-03-30,2026-04-05,Practical,Add sensors and control simulated robot,3,Simulation working,Sensor integration,Not Started
18,2026-03-30,2026-04-05,Theory,Read Gazebo documentation,2,None,Documentation notes,Not Started
19,2026-04-06,2026-04-12,Theory,Study object detection and 3D vision,6,Week 18 complete,Vision concepts,Not Started
19,2026-04-06,2026-04-12,Practical,Implement real-time object detection,5,Theory completed,Detection pipeline,Not Started
19,2026-04-06,2026-04-12,Practical,Implement depth estimation,3,Detection working,Depth processing,Not Started
19,2026-04-06,2026-04-12,Practical,Integrate vision with ROS,4,Both pipelines working,ROS vision integration,Not Started
19,2026-04-06,2026-04-12,Theory,Read computer vision papers,2,None,Paper summaries,Not Started
20,2026-04-13,2026-04-19,Theory,Study SLAM and path planning algorithms,6,Week 19 complete,SLAM concepts,Not Started
20,2026-04-13,2026-04-19,Practical,Implement SLAM in Gazebo simulation,5,Theory completed,SLAM system,Not Started
20,2026-04-13,2026-04-19,Practical,Configure navigation stack in ROS 2,3,SLAM working,Navigation setup,Not Started
20,2026-04-13,2026-04-19,Practical,Implement custom path planning algorithms,4,Navigation basics,Custom planners,Not Started
20,2026-04-13,2026-04-19,Theory,Read Probabilistic Robotics chapters,2,None,Reading notes,Not Started
21,2026-04-20,2026-04-26,Theory,Study RL fundamentals and sim-to-real transfer,7,Week 20 complete,RL concepts,Not Started
21,2026-04-20,2026-04-26,Practical,Train RL agent for robot task,6,Theory completed,Trained RL agent,Not Started
21,2026-04-20,2026-04-26,Practical,Implement PPO/SAC for robot control,5,Environment setup,RL implementation,Not Started
21,2026-04-20,2026-04-26,Theory,Read Deep RL for Robotics survey,2,None,Paper summary,Not Started
22,2026-04-27,2026-05-03,Theory,Study inverse kinematics and motion planning,5,Week 21 complete,Manipulation concepts,Not Started
22,2026-04-27,2026-05-03,Practical,Configure MoveIt for robot arm,5,Theory completed,MoveIt setup,Not Started
22,2026-04-27,2026-05-03,Practical,Implement grasp planning with AI,5,MoveIt working,Grasp detection,Not Started
22,2026-04-27,2026-05-03,Practical,Build vision-based grasping pipeline,3,Grasp detection working,Complete grasping system,Not Started
22,2026-04-27,2026-05-03,Theory,Read MoveIt and grasping papers,2,None,Paper summaries,Not Started
23,2026-05-04,2026-05-10,Theory,Study vision-language-action models,6,Week 22 complete,Embodied AI concepts,Not Started
23,2026-05-04,2026-05-10,Practical,Integrate LLMs for robot task planning,5,Theory completed,LLM integration,Not Started
23,2026-05-04,2026-05-10,Practical,Implement vision-language grounding,3,LLM integrated,Grounding system,Not Started
23,2026-05-04,2026-05-10,Practical,Build natural language robot control,4,Grounding working,NL control interface,Not Started
23,2026-05-04,2026-05-10,Theory,Read RT-2 and embodied AI papers,2,None,Paper summaries,Not Started
24,2026-05-11,2026-05-17,Theory,Study edge AI and optimization techniques,5,Week 23 complete,Edge AI concepts,Not Started
24,2026-05-11,2026-05-17,Practical,Deploy models on edge hardware,6,Theory completed,Edge deployment,Not Started
24,2026-05-11,2026-05-17,Practical,Optimize for latency with hardware acceleration,5,Models deployed,Optimized inference,Not Started
24,2026-05-11,2026-05-17,Practical,Build real-time inference pipeline,2,Optimization complete,Real-time pipeline,Not Started
24,2026-05-11,2026-05-17,Theory,Read TensorRT and edge AI docs,2,None,Documentation notes,Not Started
25,2026-05-18,2026-05-24,Project,CAPSTONE 3: System architecture and design,4,Week 24 complete,Design document,Not Started
25,2026-05-18,2026-05-24,Project,CAPSTONE 3: Setup simulation environment,4,Design complete,Simulation ready,Not Started
25,2026-05-18,2026-05-24,Project,CAPSTONE 3: Implement vision pipeline,5,Simulation setup,Vision system,Not Started
25,2026-05-18,2026-05-24,Project,CAPSTONE 3: Build navigation system,5,Vision working,Navigation implementation,Not Started
25,2026-05-18,2026-05-24,Project,CAPSTONE 3: Milestone 1 documentation,2,Systems integrated,Progress report,Not Started
26,2026-05-25,2026-05-31,Project,CAPSTONE 3: Integrate LLM for control,5,Week 25 complete,NL control system,Not Started
26,2026-05-25,2026-05-31,Project,CAPSTONE 3: Complete integration and testing,8,All components ready,Working robot system,Not Started
26,2026-05-25,2026-05-31,Project,CAPSTONE 3: Refinement and optimization,3,Testing complete,Polished system,Not Started
26,2026-05-25,2026-05-31,Project,CAPSTONE 3: Final documentation and demo,4,System complete,Complete capstone with demo,Not Started